filename,status,pattern_found,confidence,num_circles,pattern_centers,processing_time,image_shape,timestamp,visualization_path
IMG_10072025161331.png,success,False,0.0,4,[],3.5358684062957764,"(1024, 1280, 1)",2025-08-06T15:40:47.604617,batch_results\visualizations\vis_IMG_10072025161331.png
IMG_10072025161331.png,success,False,0.0,4,[],3.4583511352539062,"(1024, 1280, 1)",2025-08-06T15:40:51.109829,batch_results\visualizations\vis_IMG_10072025161331.png
IMG_10072025161333.png,success,False,0.0,4,[],3.5510246753692627,"(1024, 1280, 1)",2025-08-06T15:40:54.692091,batch_results\visualizations\vis_IMG_10072025161333.png
IMG_10072025161333.png,success,False,0.0,4,[],3.4882307052612305,"(1024, 1280, 1)",2025-08-06T15:40:58.211570,batch_results\visualizations\vis_IMG_10072025161333.png
IMG_10072025161339.png,success,False,0.0,4,[],2.2371137142181396,"(1024, 1280, 1)",2025-08-06T15:41:00.495544,batch_results\visualizations\vis_IMG_10072025161339.png
IMG_10072025161339.png,success,False,0.0,4,[],2.2838003635406494,"(1024, 1280, 1)",2025-08-06T15:41:02.826709,batch_results\visualizations\vis_IMG_10072025161339.png
IMG_10072025161342.png,success,False,0.0,4,[],4.035886764526367,"(1024, 1280, 1)",2025-08-06T15:41:06.909454,batch_results\visualizations\vis_IMG_10072025161342.png
IMG_10072025161342.png,success,False,0.0,4,[],4.0519700050354,"(1024, 1280, 1)",2025-08-06T15:41:10.992655,batch_results\visualizations\vis_IMG_10072025161342.png
IMG_10072025161344.png,success,False,0.0,4,[],2.3155899047851562,"(1024, 1280, 1)",2025-08-06T15:41:13.339484,batch_results\visualizations\vis_IMG_10072025161344.png
IMG_10072025161344.png,success,False,0.0,4,[],2.2369914054870605,"(1024, 1280, 1)",2025-08-06T15:41:15.607713,batch_results\visualizations\vis_IMG_10072025161344.png
IMG_10072025161347.png,success,False,0.0,4,[],1.736365795135498,"(1024, 1280, 1)",2025-08-06T15:41:17.390938,batch_results\visualizations\vis_IMG_10072025161347.png
IMG_10072025161347.png,success,False,0.0,4,[],1.7521800994873047,"(1024, 1280, 1)",2025-08-06T15:41:19.174355,batch_results\visualizations\vis_IMG_10072025161347.png
IMG_10072025161349.png,success,False,0.0,4,[],3.801464557647705,"(1024, 1280, 1)",2025-08-06T15:41:23.022679,batch_results\visualizations\vis_IMG_10072025161349.png
IMG_10072025161349.png,success,False,0.0,4,[],4.0203375816345215,"(1024, 1280, 1)",2025-08-06T15:41:27.090382,batch_results\visualizations\vis_IMG_10072025161349.png
IMG_10072025161351.png,success,False,0.0,8,[],4.145308494567871,"(1024, 1280, 1)",2025-08-06T15:41:31.282560,batch_results\visualizations\vis_IMG_10072025161351.png
IMG_10072025161351.png,success,False,0.0,8,[],4.130033731460571,"(1024, 1280, 1)",2025-08-06T15:41:35.443834,batch_results\visualizations\vis_IMG_10072025161351.png
IMG_10072025161353.png,success,False,0.0,5,[],3.1447043418884277,"(1024, 1280, 1)",2025-08-06T15:41:38.635397,batch_results\visualizations\vis_IMG_10072025161353.png
IMG_10072025161353.png,success,False,0.0,5,[],3.1915123462677,"(1024, 1280, 1)",2025-08-06T15:41:41.858149,batch_results\visualizations\vis_IMG_10072025161353.png
IMG_10072025161355.png,success,False,0.0,6,[],2.362055778503418,"(1024, 1280, 1)",2025-08-06T15:41:44.267074,batch_results\visualizations\vis_IMG_10072025161355.png
IMG_10072025161355.png,success,False,0.0,6,[],2.2372376918792725,"(1024, 1280, 1)",2025-08-06T15:41:46.535550,batch_results\visualizations\vis_IMG_10072025161355.png
IMG_10072025161357.png,success,False,0.0,4,[],1.314422369003296,"(1024, 1280, 1)",2025-08-06T15:41:47.896833,batch_results\visualizations\vis_IMG_10072025161357.png
IMG_10072025161357.png,success,False,0.0,4,[],1.3297293186187744,"(1024, 1280, 1)",2025-08-06T15:41:49.257802,batch_results\visualizations\vis_IMG_10072025161357.png
IMG_10072025161359.png,success,False,0.0,5,[],2.017857789993286,"(1024, 1280, 1)",2025-08-06T15:41:51.306902,batch_results\visualizations\vis_IMG_10072025161359.png
IMG_10072025161359.png,success,False,0.0,5,[],2.0186350345611572,"(1024, 1280, 1)",2025-08-06T15:41:53.356775,batch_results\visualizations\vis_IMG_10072025161359.png
IMG_10072025161428.png,success,False,0.0,5,[],2.4563074111938477,"(1024, 1280, 1)",2025-08-06T15:41:55.859840,batch_results\visualizations\vis_IMG_10072025161428.png
IMG_10072025161428.png,success,False,0.0,5,[],2.142960548400879,"(1024, 1280, 1)",2025-08-06T15:41:58.033937,batch_results\visualizations\vis_IMG_10072025161428.png
IMG_10072025161431.png,success,False,0.0,5,[],2.20577335357666,"(1024, 1280, 1)",2025-08-06T15:42:00.286568,batch_results\visualizations\vis_IMG_10072025161431.png
IMG_10072025161431.png,success,False,0.0,5,[],2.190103769302368,"(1024, 1280, 1)",2025-08-06T15:42:02.523531,batch_results\visualizations\vis_IMG_10072025161431.png
IMG_10072025161434.png,success,False,0.0,6,[],2.018071174621582,"(1024, 1280, 1)",2025-08-06T15:42:04.588463,batch_results\visualizations\vis_IMG_10072025161434.png
IMG_10072025161434.png,success,False,0.0,6,[],2.0180037021636963,"(1024, 1280, 1)",2025-08-06T15:42:06.653716,batch_results\visualizations\vis_IMG_10072025161434.png
IMG_10072025161437.png,success,False,0.0,5,[],4.505340337753296,"(1024, 1280, 1)",2025-08-06T15:42:11.205916,batch_results\visualizations\vis_IMG_10072025161437.png
